Title,Channel,Date,Description,Length,Views,Likes,Comments
AA 12 Steps | Alcoholics Anonymous | AA Meetings,Soberdelic James,2019-11-28T02:11:52Z,"The AA 12 Steps, Alcoholics Anonymous, and AA Meetings.

SJ 24/7 Chat, Zoom, and more: https://www.patreon.com/soberjames
SJ Merch!: https://soberjames.com/shop
SJ FaceBook Page: https://www.facebook.com/groups/SJWIT/
AA: https://www.aa.org/
NA: https://www.na.org/
AA Meeting Guide App: https://www.aa.org/pages/en_US/meeting-guide

Show SJ Support: https://www.paypal.me/thanksoberjames

#AA12steps #addictionrecovery #soberjames
AA 12 Steps: https://www.aa.org/assets/en_US/smf-121_en.pdf
Step 12.com: https://step12.com/the-12-steps.html
4th Step Instructions and Notes: https://step12.com/aa-files/4th-step-instructions-x.pdf
9 Best alcoholics anonymous apps for Android & iOS: https://freeappsforme.com/alcoholics-anonymous-apps/#aa-app-8211-12-steps-alcoholics

12 and 12 Book:  https://amzn.to/2JiVjQ0
Living Sober Booklet: https://amzn.to/31X8k86

                    Products and Resources from the Videos:

▶ Check out my gear on Kit: https://kit.com/Thencamejames

Famous AA Speakers: https://amzn.to/2DTf2SZ
Echo Smart Speaker(Alexa): https://amzn.to/2Y9EBHg
Nutribullet Blender: https://amzn.to/2H3iWdO
TravelPro MaxLite4 luggage: https://amzn.to/2Lq5mWt
SKG Slow Masticating Juicer: https://amzn.to/2H2nxf4
Huel Starter Kit: https://amzn.to/2JgLrq5
JYM Protein PRO 2lb:  https://amzn.to/2VLqkCY
Agmatine Sulfate Powder (250 grams): https://amzn.to/2PQwn3U

""Go Ahead Call the Cops"" tee: https://amzn.to/2H3vfXS
""Every Zoo is a Petting zoo"" tee: https://amzn.to/2Y8U1eU
""Only Love my Bed and Momma"" tee: https://amzn.to/2H5Ghff

My Sobriety Story Video: https://youtu.be/sFSYJG2fCAg

AA: https://www.aa.org/
NA: https://www.na.org/
FAVOR: https://facesandvoicesofrecovery.org/about/mission-history.html
Celebrate Recovery: https://www.celebraterecovery.com/
 
420 INVESTOR:  http://www.marketfy.com/explore/?a_aid=420Investor

                       
                                 --- SOBER JAMES' GEAR ---

---Camera---
Sony a7R III 42.4MP Full-frame Mirrorless Interchangeable Lens Camera: https://amzn.to/2DP3vUA

---Lens---
Sigma 16mm f/1.4 DC DN Contemporary Lens for Sony E: 
  https://amzn.to/2Y7Tbio

---Microphone--- 
Rode VideoMic GO Lightweight On-Camera Mic BUNDLE w/Rycote Mini Windjammer: https://amzn.to/2H3dRlN

---Tripod---
JOBY GorillaPod 5K Kit. Professional Tripod 5K Stand and Ballhead 5K for DSLR Cameras or Mirrorless Camera with Lens up to 5K (11lbs). Black/Charcoal: https://amzn.to/2H58X7Z

---Gear Bag---
Case Logic SLRC-206 SLR Camera and 15.4-Inch Laptop Backpack (Black): https://amzn.to/2VDSKyT

Like and share please, this helps the channel grow and be available to more people. Thanks!

I would love your feedback, comments, suggestions...scroll all the way down to comment!

Your subscriptions are encouraged and encouraging, subscribe above!

The Amazon links are affiliate links. I make a small fee at no cost to you, if you purchase an item after visiting these links. This helps support my channel so I can continue to create content.
 
AA 12 Steps | Alcoholics Anonymous | AA Meetings 
In this video I'll be briefly listing  the AA 12 Steps and providing links and references for  AA Meetings, as well as talking about getting an AA Sponsor. Alcoholics Anonymous meetings and the 12 steps have been a ""go to"" for sobriety and recovery since the 1930's. An AA meeting is kind of like a support group, with everybody there sharing the same goal and common enemy: Alcoholism. AA Sponsorship is the foundation of decades of recovery.
 Alcoholics anonymous meetings aren't always about the 12 steps, although there are twelve step meetings. AA meeting topics often touch on subjests like: how to get an AA sponsor, AA sponsorship myths, what to expect at your first AA meeting, working the 12 steps of alcoholics anonymous, how AA works, or even AA myths and the question ""do AA meetings work?""
I have personal experience with working the 12 steps of AA, and i do my best to share it here on this channel weekly. Check out my AA meeting App video, where I use the App to find AA meetings near me. Alcoholics Anonymous UK doesn't have the App just yet. #soberjames #alcoholism #addictionrecovery #relapseprevention Soberdelic James supports the use of psychedelics like shrooms and cannabis in addiction recovery.",PT16M36S,41533,938,284
Alcoholics Anonymous (A.A Celebs Sharings) - Joe Rogan [Alcoholism Recovery Story],Quit Nasha,2021-01-05T22:28:56Z,"Alcoholics Anonymous is a fellowship working internationally to enable members to “stay sober and help other alcoholics achieve sobriety” 
For information on getting help, physicians, support groups, and self-help on how to quit addictive substances log onto www.quitnasha.com 

For more information on finding alcoholic anonymous groups in your area please contact local AA websites.

#AA #AlcholicsAnonymous #AAsharings #HindiSharings #AAmeetings #SupportGroup
#QuitNasha",PT7M18S,15653,107,16
Is Alcoholics Anonymous a Cult? 🤐,Put The Shovel Down,2021-11-30T13:30:06Z,"Before you get involved with Alcoholics Anonymous, watch this video!  Is AA just a cult that tries to brainwash you? What about Narcotics Anonymous, Cocaine Anonymous, etc...?  

0:00 Is Alcoholics Anonymous a Cult?
1:05 Commitment to a leader
2:07 Questioning is discouraged
3:00 Mind-altering activities
3:47 Dictating Leader
5:50 Polarizing Beliefs
6:28 Peer Pressure
7:20 Cutting Ties
7:45 Monetary offerings
8:51 Block outside influences
9:32 The Takeaway

To find an AA meeting near you: https://aa.org/

ADDITIONAL RESOURCES:

📑Access our FREE Family Recovery Resources: 
https://www.familyrecoveryacademy.online/free-resources

📆To make an appointment with one of our specialists: https://www.familyrecoveryacademy.online/consultations

INTERVENE WITH AN ADDICTED LOVED ONE: 👇 https://www.familyrecoveryacademy.online/invisible-intervention


⏩Get Access To Our FAST TRACK family recovery programs, visit 👉 https://www.familyrecoveryacademy.online


👪FREE Family Recovery Support Group on Facebook: 
https://www.facebook.com/groups/familyrecoverysupport

💌Access counseling anytime/anywhere through Better Help: (Use this link to get 10% off!)   
https://www.betterhelp.com/PutTheShovelDown  
(**Better Help is a sponsor of Put The Shovel Down. Using Better Help counseling services helps support our channel!**) 

 
📚Recommended Books:
https://www.amazon.com/shop/addictionrecoveryresources-hopeforfamilies


SUPPORT THIS CHANNEL: 🔊📣This channel is sponsored by Hope For Families Recovery Center.  We believe RECOVERY IS CONTAGIOUS, and it's our mission to spread recovery faster than addiction is spreading.

If you find our videos helpful there are several  WAYS YOU CAN HELP SUPPORT OUR MISSION:

1.  LIKES AND COMMENTS let google know that people find value in our videos, which triggers Google to show our videos to more people. This helps tremendously! 

2. SHARING our videos is one of the fastest ways to help us spread the message of family recovery.  We're always getting comments from people saying they wished they'd found us sooner.  Help us get our message to the people who need it by sharing the videos you find most helpful! 

3. There is a little button underneath every video that says ""Thanks"".  This button will allow you to give a small donation and to show your appreciation for any video you find particularly helpful. 

4.  If you'd like to help financially SUPPORT THIS CHANNEL, you can use this link to MAKE A DONATION through PayPal:  https://www.paypal.com/paypalme/hopeforfamilies540  



5.  Anytime you PURCHASE A RECOMMENDED BOOK (or other resources) using our amazon affiliate link, Hope For Families receives a small commission from Amazon.  (But don't worry, it won't affect the price you pay!) https://www.amazon.com/shop/addictionrecoveryresources-hopeforfamilies


*100% of all donations go to help cover the cost of producing videos and adding to our library of FREE online recovery resources that are available to anyone/everyone who may need the information.",PT10M32S,4102,87,111
Sensibly Speaking Podcast #83: Is Alcoholics Anonymous a Destructive Cult?,"Chris Shelton, MSc",2017-04-01T06:00:06Z,"This week I'm joined by Jon Stewart, a former member of AA and someone with a great deal of experience discussing the pros and cons of the program, how it runs and how it shares certain characteristics with destructive cults and yet...is it destructive itself? We talk about this in detail in this episode. Links to everything we mentioned in the episode are on the Sensibly Speaking website.

Please comment away and let me know your feedback or if you have any questions or comments you'd like me to address on air.

CRITICAL MERCHANDISE IS AVAILABLE NOW!
http://shop.spreadshirt.com/chrisshelton

FOLLOW ME ON TWITTER:
@SensibleSpeaker

The Sensibly Speaking Podcast website:
http://sensiblyspeaking.com

YOUR SUPPORT IS WHAT KEEPS THIS CHANNEL GOING!
Patreon: http://patreon.com/chrisshelton

You can also use the blue support button on my channel's home page or the PayPal link to provide a one-time support. Thank you very much!!!",PT1H1M32S,15796,430,254
Funny AA Speaker - Mark L. - Alcoholics Anonymous - AA Speaker,AA Speakers and More,2014-09-29T16:30:48Z,"Website - http://www.aaspeaker.com 
Instagram - https://www.instagram.com/aaspeakerdotcom/

Mark L. not only carries a hilarious message, but he's one of the funniest AA Speakers of all time!  

For more information about Mark, please visit http://www.marklundholm.com.",PT1H6M5S,98913,997,17
AA Speaker Stevie Ray Vaughan | Alcoholics Anonymous,Soberdelic James,2019-11-05T16:49:53Z,"AA Speaker Stevie Ray Vaughan | Alcoholics Anonymous
SJ 24/7 Chat, Zoom, and more: https://www.patreon.com/soberjames
SJ Merch!: https://soberjames.com/shop
SJ FaceBook Page: https://www.facebook.com/groups/SJWIT/
AA: https://www.aa.org/
NA: https://www.na.org/
AA Meeting Guide App: https://www.aa.org/pages/en_US/meeting-guide

Show SJ Support: https://www.paypal.me/thanksoberjames

#SRV #addictionrecovery #soberjames
                    Products and Resources from the Videos:

▶ Check out my gear on Kit: https://kit.com/Thencamejames

Famous AA Speakers: https://amzn.to/2DTf2SZ
Echo Smart Speaker(Alexa): https://amzn.to/2Y9EBHg
Nutribullet Blender: https://amzn.to/2H3iWdO
TravelPro MaxLite4 luggage: https://amzn.to/2Lq5mWt
SKG Slow Masticating Juicer: https://amzn.to/2H2nxf4
Huel Starter Kit: https://amzn.to/2JgLrq5
JYM Protein PRO 2lb:  https://amzn.to/2VLqkCY
Agmatine Sulfate Powder (250 grams): https://amzn.to/2PQwn3U

""Go Ahead Call the Cops"" tee: https://amzn.to/2H3vfXS
""Every Zoo is a Petting zoo"" tee: https://amzn.to/2Y8U1eU
""Only Love my Bed and Momma"" tee: https://amzn.to/2H5Ghff

My Sobriety Story Video: https://youtu.be/sFSYJG2fCAg

AA: https://www.aa.org/
NA: https://www.na.org/
FAVOR: https://facesandvoicesofrecovery.org/about/mission-history.html
Celebrate Recovery: https://www.celebraterecovery.com/
 
420 INVESTOR:  http://www.marketfy.com/explore/?a_aid=420Investor

                       
                                 --- SOBER JAMES' GEAR ---

---Camera---
Sony a7R III 42.4MP Full-frame Mirrorless Interchangeable Lens Camera: https://amzn.to/2DP3vUA

---Lens---
Sigma 16mm f/1.4 DC DN Contemporary Lens for Sony E: 
  https://amzn.to/2Y7Tbio

---Microphone--- 
Rode VideoMic GO Lightweight On-Camera Mic BUNDLE w/Rycote Mini Windjammer: https://amzn.to/2H3dRlN

---Tripod---
JOBY GorillaPod 5K Kit. Professional Tripod 5K Stand and Ballhead 5K for DSLR Cameras or Mirrorless Camera with Lens up to 5K (11lbs). Black/Charcoal: https://amzn.to/2H58X7Z

---Gear Bag---
Case Logic SLRC-206 SLR Camera and 15.4-Inch Laptop Backpack (Black): https://amzn.to/2VDSKyT

Like and share please, this helps the channel grow and be available to more people. Thanks!

I would love your feedback, comments, suggestions...scroll all the way down to comment!

Your subscriptions are encouraged and encouraging, subscribe above!

The Amazon links are affiliate links. I make a small fee at no cost to you, if you purchase an item after visiting these links. This helps support my channel so I can continue to create content.
 
I appreciate celebrity AA speakers. The Alcoholism recovery stories they tell are much like yours and mine. Stevie Ray Vaughan is no exception, in this open speaker meeting of Alcoholics Anonymous  Some people may find this video by searching for Stevie Rey Von, and where aa speakers best bets are sometimes celebrities, Stevie demonstrates incredible humility and honesty. Stevie Ray Vaughan drugs...the two go hand in hand. One of quite a few musicians in recovery, few have spoken freely at an open speaker meeting aa, Stevie Ray Vaughan AA and recordings like these will hopefully help sober musicians, navigate the sometimes harsh weather of sobriety. Stevie Ray Vaughan talks about drugs, Stevie Ray Vaughan drug use,and Stevie Ray Vaughan alcohol. Stevie Ray V AA, Sober singers, alcoholism, how to stop drinking, alcohol use disorder, Sobriety,Sober James, AlcoholMasteryTV, Sober grid, viceland, sober. #soberjames #alcoholism  #aaspeakers #addictionrecovery Soberdelic James supports the use of psychedelics like shrooms and cannabis in addiction recovery.",PT23M21S,57381,1254,297
The Road Back Alcoholics Anonymous Ireland,Alcoholics Anonymous Ireland,2015-07-14T08:46:33Z,The Road Back DVD - produced by the General Service Conference of Alcoholics Anonymous in Ireland.,PT16M51S,12842,101,36
Why It’s Okay To HATE Alcoholic’s Anonymous,Stop Drinking Expert,2019-04-05T13:47:55Z,"https://www.stopdrinkingexpert.com

Why It’s Okay To HATE Alcoholic’s Anonymous

If you develop a drinking problem, where do you go?

Don't say Alcoholics Anonymous until you read this!

The answer to problem drinking has never been the obvious choice. The initial pioneers turned up with a fantastic desire for bourbon and lots of it. In the early times of the nation, alcohol was among the few drinks that were dependably risk-free from pollution. (It was also less expensive than coffee beans or tea.)

The writer W. J. Rorabaugh has approximated that between the 1770s and 1830s, the typical American citizen over age 15 downed at least 5 gallons of pure alcohol a year, the rough equivalent of 3 shots of hard whiskey a day. Religious eagerness, assisted due to the introduction of communal water-filtration systems, helped arouse the soberness movement, which ended in 1920 with Prohibition. 

That venture stopped after 14 years, but the heavy drinking way of life it cultivated lingers to this day.

AA has become the default solution for problem drinking BUT it was never designed for that.",PT12M25S,23848,778,601
Benefits of Alcoholics Anonymous (AA Meetings),militarypathways,2012-04-03T22:30:43Z,"Learn why attending alcoholics anonymous meetings are helpful for trying to quit drinking. View more information, or take an alcohol screening test at http://www.militarymentalhealth.org/resources/related_articles.aspx",PT1M18S,3209,8,15
AA Speaker Joan R. - The African American Experience In Alcoholics Anonymous,AA Speakers,2019-10-12T02:07:00Z,"Listen to 10,000 Recovery Speakers Here:
http://recoveryspeakerlibrary.com
HIGHLY RECOMMENDED!!

Over 10,000 Alcoholics Anonymous (and other fellowships) speakers for listening online
or downloading to use as you like. A true treasure trove of recovery speakers from old timers
to more contemporary speakers. Lots of great history here!

Get Recovery CD's Here:
https://ebay.to/2Suio5C

Or On Amazon Here:
https://amzn.to/33rTIRO

PLEASE SUBSCRIBE - It Helps Carry The Message

AA Speaker Joan R. - The African American Experience In Alcoholics Anonymous

Please enjoy this recording, and the experience, strength and hope it contains!

Welcome to our recovery speakers channel! We are not affiliated with any of the 12 step programs or speakers we feature on the channel. Our only goal is to carry the message of recovery and highlight some important historical and classic recovery talks. We feature speakers associated with Alcoholics Anonymous (AA), Narcotics Anonymous (NA), and the Al-Anon Family Group. If you have a favorite speaker (modern or vintage) you'd like us to add to the channel please feel free to submit it to us via email at: pmason2765@gmail.com

To Help carry the message please subscribe to the channel and keep coming back !!!

AA SPEAKER FULL CHANNEL: https://www.youtube.com/channel/UCWj7O2SeVW-jGCVr5_kxLKw

Central Office Links: 
Alcoholics Anonymous: https://www.aa.org
Narcotics Anonymous: https://www.na.org
Al-Anon: https://al-anon.org

Please be aware that recovery speakers only share their own personal experience, strength and hope. The do not speak for their fellowship, and the fellowship does not necessarily endorse their views in any way.

TAGS:
Joan R., african american, recovery story, AA, famous aa speaker, alcoholics anonymous, Alcoholics Anonymous speaker, alcoholics anonymous tapes, aa speaker tapes, aa speakers, Alcoholics Anonymous History, big book, Alcoholism, aa tapes, aa speakers, alcohol addiction, addiction recovery videos, addiction recovery stories, alcohol addiction story, alcohol addiction recovery, aa speaker meeting, alcoholism recovery stories, alcoholism recovery videos, 12 steps of aa,",PT17M16S,780,25,4
"Bob D. - AA Speaker - ""The Traditions of Alcoholics Anonymous"" (Very entertaining!)",Odomtology 12-Step Recovery Media,2013-09-30T18:25:17Z,"This is an AWESOME share by one of my favorite AA speakers, Bob D.   REALLY worth listening to! Bob D. has such an enlightening and entertaining way of explaining the twelve traditions, the tape seems to fly by! Yes, this one is a MUST LISTEN! Enjoy :)

From the book Alcoholics Anonymous: ""In spite of the great increase in the size and span of this Fellowship, at its core it remains simple and personal. Each day, somewhere in the world, recovery begins when one alcoholic talks with another alcoholic, sharing experience, strength, and hope.""

What is the Twelve Step Model? How is it a ""treatment for alcoholism"" or ""alcohol abuse?""

From Wikipedia: ""A twelve-step program is a set of guiding principles (accepted by members as 'spiritual principles,' based on the approved literature) outlining a course of action for recovery from addiction, compulsion, or other behavioral problems. Originally proposed by Alcoholics Anonymous (AA) as a method of recovery from alcoholism, the Twelve Steps were first published in the book Alcoholics Anonymous: The Story of How More Than One Hundred Men Have Recovered from Alcoholism in 1939. The method was then adapted and became the foundation of other twelve-step programs. Twelve-step methods have been adopted to address a wide range of substance-abuse and dependency problems.""

You can find out more at: http://www.aa.org - Alcoholics Anonymous Official Site (And as should be blatantly obvious, we are in no way affiliated with them or any other 12 step program.  We are just looking to provide hope to those suffering from alcoholism or addiction.)

""Addiction treatment"" WORKS! There is addiction help out there and ""addiction recovery"" is possible.  If you are battling ""alcohol addiction"" there are people who know EXACTLY what it is like!  

It is important to note there are several ways for one to address his or her ""alcohol abuse treatment.""  ""Substance abuse"" is a very serious condition.  Many need inpatient stays or counseling.  The importance and purpose of this video, and all our other videos, is to show that recovery IS possible and to give hope to those who are struggling with substance abuse issues.  Help IS out there! :)

From the Big Book of Alcoholics Anonymous: ""Abandon yourself to God as you understand God. Admit your faults to Him and to your fellows. Clear away the wreckage of your past. Give freely of what you find and join us. We shall be with you in the Fellowship of the Spirit, and you will surely meet some of us as you trudge the Road of Happy Destiny.""

Follow us on social media at:

Twitter- http://www.twitter.com/odomtology
Facebook- http://www.facebook.com/odomtology
Pinterest- http://www.pinterest.com/odomtology

Please share with anyone, anywhere at anytime! We listen to every speaker tape ourselves and can guarantee that it is QUALITY recovery material! :)

Namaste, friends :)

Channel Home- http://www.youtube.com/odomtologybooks",PT1H38M41S,70696,581,14
Alcoholics Anonymous AA Big Book Audio Read Aloud Audiobook 12 steps,Sober Beard,2021-07-20T05:37:04Z,"This is the entire Alcoholics Anonymous Big Book Read aloud to help you in your sobriety.  This book really helped me get and stay sober by using it and doing the 12 steps with a sponsor.  My desire and obsession to drink alcohol is now gone and it is my calling to be of service to others that are still struggling in their disease.  If this has helped you in any way, please like and subscribe and say hi in the comments please.  I will try to reply to everyone that has a question or comment",PT5H44M28S,5527,111,11
How I Got Sober | Being an Alcoholic and Addict,FinnTheInfinncible (Finlay Games),2019-08-20T12:51:23Z,"I am an alcoholic and addict and this is the story of my recovery from addiction to alcohol and drugs. I began my recovery journey in August 2010 with the help of Alcoholics Anonymous. With the help of AA and using the one day at a time approach, I have managed to stay sober and learn to manage my mental health and my daily life.

It is also thanks to AA and to my sobriety, that I came to also realize I was transgender and found the courage to go through gender transition. That one day at a time approach has turned into a life I could have never dreamed possible.

If you are struggling with drinking, please do feel free to message me and to check out the various resources on my website. https://finlaygames.com/resources-tools/

🏳‍🌈GET MORE FROM ME!🏳‍🌈
Subscribe: https://bit.ly/2FuL9K3
FREE newsletter & Exclusives sign up here: http://eepurl.com/dM7Zw2
Visit my website and blog: https://finlaygames.com/
Watch Next: Gender Dysphoria After Lower Surgery https://youtu.be/cGNV8gM175g

⭐️BECOME A MEMBER ⭐️ 
Via YouTube: http://bit.ly/3b3ZQAw
Via Ko-fi: http://ko-fi.com/finlaygames/tiers
Compare Perks: https://finlaygames.com/memberships-and-donations/

💜 STAY IN TOUCH💜
• TWITTER: https://twitter.com/FinlayGames
• INSTAGRAM: https://www.instagram.com/finntheinfinncible/
• FACEBOOK (The Finnfam community) : https://www.facebook.com/FinlayGames/

🛒 SHOP WITH ME! 🛒
• 📘 Buy my book! : https://finlaygames.com/my-books/ 
• T shirts and stuff:: https://teespring.com/stores/finnspirational-designs
• Phallo resources (videos, books and guides) : https://ko-fi.com/finlaygames/shop
• Personalised videos : https://ko-fi.com/finlaygames/shop#buyCommissionModal
• My Amazon Shop: https://www.amazon.co.uk/shop/finntheinfinncible

☕️SUPPORT THIS CHANNEL /SAY THANKS!☕️
• Buy Me a Coffee: https://ko-fi.com/finlaygames
• My Amazon Wishlist: https://amzn.to/3ybEBZK

😎ABOUT ME 😎
Hello, I'm Finn, and welcome to my channel! I share first-hand experiences and practical advice on topics of gender transition, LGBTQ+ life, and mental wellbeing, as well as lots of personal updates and day-to-day life. Every video is served with a ton of honesty and a touch of humor! if that sounds like something you'd enjoy then please click subscribe and enable notifications so that you never miss a video! For instant updates, follow me on my social media accounts! Welcome to the FinnFam!

#RecoveryMonth #AddictionRecovery #MentalHealth",PT18M43S,3502,185,95
AA Speaker Johnny H. Tells His Alcoholics Anonymous Story of Recovery. VERY POPULAR SPEAKER!,AA Speakers,2019-10-02T15:59:19Z,"Listen to 10,000 Recovery Speakers Here:
http://recoveryspeakerlibrary.com
HIGHLY RECOMMENDED!!

Over 10,000 Alcoholics Anonymous (and other fellowships) speakers for listening online
or downloading to use as you like. A true treasure trove of recovery speakers from old timers
to more contemporary speakers. Lots of great history here!

Get Recovery CD's Here:
https://ebay.to/2Suio5C

Or On Amazon Here:
https://amzn.to/33rTIRO

PLEASE SUBSCRIBE - It Helps Carry The Message

AA Speaker Johnny H. Tells His Alcoholics Anonymous Story of Recovery. VERY POPULAR SPEAKER!

Please enjoy this recording, and the experience, strength, and hope it contains!

Welcome to our recovery speakers channel! We are not affiliated with any of the 12 step programs or speakers we feature on the channel. Our only goal is to carry the message of recovery and highlight some important historical and classic recovery talks. We feature speakers associated with Alcoholics Anonymous (AA), Narcotics Anonymous (NA), and the Al-Anon Family Group. If you have a favorite speaker (modern or vintage) you'd like us to add to the channel please feel free to submit it to us via email at: pmason2765@gmail.com

To Help carry the message please subscribe to the channel and keep coming back !!!

AA SPEAKER FULL CHANNEL: https://www.youtube.com/channel/UCWj7O2SeVW-jGCVr5_kxLKw

RECOVERY LINKS OF INTEREST

AA Recovery Books (Big Book Etc.): https://amzn.to/2LR36V9
General Recovery Books: https://amzn.to/30kpJ9E
Very Nice Recovery Gifts: https://amzn.to/302euXk
Nice Selection of Recovery Birthday Coins: https://amzn.to/2O1eIaL
Recovery Speaker CD's: https://amzn.to/2NXLUzX
12 and 12 Book: https://amzn.to/2LR36V9

Central Office Links: 
Alcoholics Anonymous: https://www.aa.org
Narcotics Anonymous: https://www.na.org
Al-Anon: https://al-anon.org

Please be aware that recovery speakers only share their own personal experience, strength and hope. The do not speak for their fellowship, and the fellowship does not necessarily endorse their views in any way.

TAGS:
Johnny Harris, Johnny H., Johnny H. AA, famous aa speaker, alcoholics anonymous, AA, alcoholics anonymous speakers, aa speaker, recovery speaker, aa, big book, 12 steps, aa co-founder, alcoholics anonymous tapes, aa speaker tapes, aa speakers, Alcoholics Anonymous History, big book, Alcoholism, aa tapes, aa speakers,",PT57M22S,14931,179,12
"Alcoholics Anonymous, Howard P., Prayer & Meditation",recoveryspeakers.com,2014-10-09T12:07:11Z,"RecoverySpeakers.com ~ Howard P. of Gilbert, Arizona talks on Prayer & Meditation and the role they play in addiction recovery.  Howard has been sober 42 years.  He is very active in AA and is a much sought after speaker in the recovery community throughout the country. Visit RecoverySpeakers.com for more free talks.",PT1H37S,20139,193,7
12 Steps & 12 Traditions of AA read out loud CD1,Sober Servant of Praise,2021-06-06T14:54:56Z,"This CD has the preface through step 4 on it. Step 1 begins at 8:46, Step 2 at 16:40",PT1H17M53S,23932,432,37
